title,categoric,semantic,paper_id,year,doi,main_topic_category,research_target,study_type,impact_category
Mental Health Impacts of Climate Change Among Vulnerable Populations Globally: An Integrative Review,core_topic,"This paper explores the mental health impacts of climate change on vulnerable populations, highlighting various psychological responses and the need for targeted interventions.",10_5334_aogh_4105,2023,10.5334/aogh.4105,core_topic,population_or_setting,review,mental_health; vulnerable_populations
Climate change and adaptation strategies for human health,core_topic,This paper examines various adaptation strategies for public health in the context of climate change impacts across Europe.,openalex_org_w47507602,2006,,core_topic,primary_target,policy_analysis,physical_health; vulnerable_populations
Health co-benefits and risks of public health adaptation strategies to climate change: a review of current literature,core_topic,"This paper reviews the health co-benefits and risks associated with public health adaptation strategies to climate change, enhancing understanding of their impacts on health outcomes.",10_1007_s00038_012_0422_5,2012,10.1007/s00038-012-0422-5,core_topic,outcome_or_effect,review,mental_health; physical_health; socioeconomic_impact; mixed_or_unclear
Racial Disparities in Climate Change-Related Health Effects in the United States,core_topic,"This paper analyzes racial disparities in health impacts due to climate change in the United States, highlighting the greater vulnerability of communities of color.",10_1007_s40572_022_00360_w,2022,10.1007/s40572-022-00360-w,core_topic,population_or_setting,empirical,physical_health; mental_health; vulnerable_populations
Global Climate Change and Children’s Health: Threats and Strategies for Prevention,core_topic,"This paper reviews the projected impacts of climate change on children's health, highlighting vulnerabilities and prevention strategies.",10_1289_ehp_1002233,2010,10.1289/ehp.1002233,core_topic,population_or_setting,review,physical_health; vulnerable_populations
Obesity in children and young people: a crisis in public health,adjacent_or_contextual,The paper discusses the rising prevalence of childhood obesity globally and its potential long-term health implications.,10_1111_j_1467_789x_2004_00133_x,2004,10.1111/j.1467-789x.2004.00133.x,adjacent_or_contextual,related_target,review,physical_health; socioeconomic_impact; vulnerable_populations
Mechanisms underlying Children's susceptibility to environmental toxicants.,adjacent_or_contextual,"The paper investigates mechanisms underlying children's susceptibility to environmental toxicants, which is relevant to understanding health risks associated with climate change.",10_1289_ehp_00108s113,2000,10.1289/ehp.00108s113,adjacent_or_contextual,population_or_setting,unclear,vulnerable_populations; physical_health
The Impact of Global Warming on Health and Mortality,core_topic,This paper discusses the significant impacts of global warming on heat-related health outcomes and mortality in vulnerable populations.,10_1097_01_smj_0000144635_07975_66,2004,10.1097/01.smj.0000144635.07975.66,core_topic,outcome_or_effect,empirical,physical_health; vulnerable_populations
Critical Review of Health Impacts of Wildfire Smoke Exposure,core_topic,"The paper reviews the health impacts of wildfire smoke exposure, particularly in the context of increasing wildfire activity due to climate change.",10_1289_ehp_1409277,2016,10.1289/ehp.1409277,core_topic,outcome_or_effect,review,physical_health; vulnerable_populations
"Adaptation costs for climate change-related cases of diarrhoeal disease, malnutrition, and malaria in 2030",core_topic,"This paper estimates the adaptation costs for health impacts of climate change, specifically diarrhoeal disease, malnutrition, and malaria in 2030.",10_1186_1744_8603_4_9,2008,10.1186/1744-8603-4-9,core_topic,outcome_or_effect,policy_analysis,physical_health; socioeconomic_impact
Escalating climate-related health risks for Hajj pilgrims to Mecca,core_topic,"The paper investigates the escalating health risks associated with climate change for Hajj pilgrims in Mecca, highlighting the effectiveness of mitigation strategies against heat-related illnesses.",10_1093_jtm_taae042,2024,10.1093/jtm/taae042,core_topic,primary_target,empirical,physical_health; vulnerable_populations
Home visits: a strategy to improve newborn survival - Authors' reply,adjacent_or_contextual,"This paper discusses the link between agricultural emissions, climate change, and their potential health impacts, particularly concerning ischaemic heart disease.",10_1016_s0140,2008,10.1016/s0140,adjacent_or_contextual,related_target,policy_analysis,physical_health; socioeconomic_impact
A Systematic Literature Review of Factors Affecting the Timing of Menarche: The Potential for Climate Change to Impact Women’s Health,core_topic,"The paper explores how climate change may influence the timing of menarche, impacting women's health and associated disease risks.",10_3390_ijerph17051703,2020,10.3390/ijerph17051703,core_topic,outcome_or_effect,review,mental_health; physical_health; vulnerable_populations
Climate Change and Developing-Country Cities: Implications For Environmental Health and Equity,core_topic,This paper reviews the health vulnerabilities associated with climate change in developing cities and emphasizes the need for integrated health and environmental policies.,10_1007_s11524_007_9170_x,2007,10.1007/s11524-007-9170-x,core_topic,population_or_setting,review,vulnerable_populations; physical_health
Environmental Health and Climate Change in Nigeria,core_topic,"This paper examines the severe health consequences of climate change in Nigeria, highlighting direct and indirect impacts on human health and the environment.",openalex_org_w3132667265,2018,,core_topic,outcome_or_effect,empirical,physical_health; socioeconomic_impact; vulnerable_populations
An overview of systematic reviews to determine the impact of socio‐environmental factors on health outcomes of people with disabilities,mixed_or_unclear,"This paper reviews the influence of socio-environmental factors on health outcomes for people with disabilities, highlighting the impact of disparities on their health.",10_1111_hsc_13665,2021,10.1111/hsc.13665,mixed_or_unclear,related_target,review,socioeconomic_impact; vulnerable_populations
A Human Health Perspective on Climate Change: A Report Outlining Research Needs on the Human Health Effects of Climate Change,core_topic,"This paper outlines research needs related to the human health effects of climate change, emphasizing the importance of understanding this connection for effective health policy and interventions.",10_1289_ehp_1002272,2010,10.1289/ehp.1002272,core_topic,primary_target,policy_analysis,physical_health; mental_health; vulnerable_populations
The human health effects of ozone depletion and interactions with climate change,core_topic,The paper examines human health effects related to ozone depletion and its interactions with climate change.,10_1039_c0pp90044c,2011,10.1039/c0pp90044c,core_topic,outcome_or_effect,mixed_or_unclear,physical_health; mixed_or_unclear
Climate Change and Public Health Interventions,core_topic,This paper discusses public health interventions related to the impacts of climate change on health.,10_1007_978_3_030_54746_2_27,2020,10.1007/978-3-030-54746-2_27,core_topic,primary_target,policy_analysis,mixed_or_unclear
Climate change and health: Indoor heat exposure in vulnerable populations,core_topic,This paper investigates the effects of indoor heat exposure due to climate change on vulnerable populations.,10_1016_j_envres_2011_10_008,2011,10.1016/j.envres.2011.10.008,core_topic,population_or_setting,empirical,vulnerable_populations; physical_health
Managed retreat as a strategy for climate change adaptation in small communities: public health implications,core_topic,"This paper discusses managed retreat as an adaptation strategy to climate change, with implications for public health in small communities.",10_1007_s10584_019_02382_0,2019,10.1007/s10584-019-02382-0,core_topic,related_target,policy_analysis,socioeconomic_impact; vulnerable_populations
Chronic kidney disease and the global public health agenda: an international consensus,unclear,This paper addresses chronic kidney disease within the global public health agenda but does not specifically connect to climate change impacts on health outcomes.,10_1038_s41581_024_00820_6,2024,10.1038/s41581-024-00820-6,unclear,unclear,unclear,unclear
"Population adaptation to heat as seen through the temperature-mortality relationship, in the context of the impact of global warming on health: A scoping review",core_topic,This paper reviews population adaptation to heat in the context of health impacts from global warming.,10_1016_j_scitotenv_2023_168441,2023,10.1016/j.scitotenv.2023.168441,core_topic,primary_target,review,physical_health; vulnerable_populations
Climate change and human health: present and future risks,core_topic,This paper examines the present and future risks of climate change on human health.,10_1016_s0140_6736(06)68079_3,2006,10.1016/s0140-6736(06)68079-3,core_topic,outcome_or_effect,review,physical_health; mental_health; vulnerable_populations
Health and climate change: policy responses to protect public health,core_topic,This paper discusses policy responses to protect public health from the impacts of climate change.,10_1016_s0140_6736(15)60854_6,2015,10.1016/s0140-6736(15)60854-6,core_topic,primary_target,policy_analysis,physical_health; socioeconomic_impact; vulnerable_populations
"Climate change and human health: Impacts, vulnerability and public health",core_topic,"This paper discusses the impacts of climate change on human health, focusing on vulnerabilities and public health responses.",10_1016_j_puhe_2006_01_002,2006,10.1016/j.puhe.2006.01.002,core_topic,primary_target,review,physical_health; vulnerable_populations
The Lancet Countdown on health and climate change: from 25 years of inaction to a global transformation for public health,core_topic,This paper provides a comprehensive overview of the health impacts of climate change and emphasizes the need for urgent public health transformations.,10_1016_s0140_6736(17)32464_9,2017,10.1016/s0140-6736(17)32464-9,core_topic,primary_target,review,physical_health; mental_health; socioeconomic_impact; vulnerable_populations
Conceptualizations of climate-related health risks among health experts and the public in Ghana,core_topic,This paper explores how climate-related health risks are perceived by both health experts and the public in Ghana.,10_1016_j_socscimed_2019_01_026,2019,10.1016/j.socscimed.2019.01.026,core_topic,population_or_setting,empirical,vulnerable_populations; mixed_or_unclear
Climate change anxiety and mental health: Environmental activism as buffer,core_topic,"The paper explores the relationship between climate change anxiety and mental health, suggesting that environmental activism may act as a buffer.",10_1007_s12144_022_02735_6,2022,10.1007/s12144-022-02735-6,core_topic,primary_target,unclear,mental_health
